"active_index","reverse_scale","network_id","type","id","p1","p2","p3","p4","p5","initialized","changed","changed_row"
2,FALSE,5,"criticsm_trial",28,438.703870387039,-95.8295829582958,-374.783604059904,-539.51395139514,-458.865886588659,-374.783604059904,-569.75697569757,"p3"
3,FALSE,5,"criticsm_trial",30,438.703870387039,-95.8295829582958,-569.75697569757,534.925990637012,-458.865886588659,534.925990637012,-559.67596759676,"p4"
4,FALSE,5,"criticsm_trial",33,438.703870387039,-95.8295829582958,-569.75697569757,-559.67596759676,-271.928491709431,-271.928491709431,301.340225094298,"p5"
0,FALSE,5,"criticsm_trial",36,301.340225094298,-95.8295829582958,-569.75697569757,-559.67596759676,-589.91899189919,-589.91899189919,0,"p1"
3,FALSE,6,"suggestion_trial",38,104.298202684958,53.1368452298416,383.463153117437,569.084761083575,10.8731868560199,569.084761083575,539.513951395139,"p4"
4,FALSE,6,"suggestion_trial",41,104.298202684958,53.1368452298416,383.463153117437,539.513951395139,39.7186052334339,39.7186052334339,116.491228986915,"p5"
0,FALSE,6,"suggestion_trial",43,116.491228986915,53.1368452298416,383.463153117437,539.513951395139,166.396639663966,166.396639663966,55.5055505550555,"p1"
1,FALSE,6,"suggestion_trial",45,55.5055505550555,-599.633094662609,383.463153117437,539.513951395139,166.396639663966,-599.633094662609,75.6675667566757,"p2"
2,FALSE,6,"suggestion_trial",47,55.5055505550555,75.6675667566757,172.797970899909,539.513951395139,166.396639663966,172.797970899909,186.558655865587,"p3"
3,FALSE,6,"suggestion_trial",49,55.5055505550555,75.6675667566757,186.558655865587,-325.348291651229,166.396639663966,-325.348291651229,509.270927092709,"p4"
4,FALSE,6,"suggestion_trial",51,55.5055505550555,75.6675667566757,186.558655865587,509.270927092709,377.237573409613,377.237573409613,499.650843113614,"p5"
0,FALSE,6,"suggestion_trial",53,499.650843113614,75.6675667566757,186.558655865587,509.270927092709,368.016801680168,368.016801680168,-196.639663966397,"p1"
1,FALSE,6,"suggestion_trial",55,-196.639663966397,-436.19051936565,186.558655865587,509.270927092709,368.016801680168,-436.19051936565,206.720672067207,"p2"
2,FALSE,6,"suggestion_trial",57,-196.639663966397,206.720672067207,-32.8198021120385,509.270927092709,368.016801680168,-32.8198021120385,0,"p3"
3,FALSE,8,"suggestion_trial",40,193.540653662508,218.821141081185,316.317591114148,-536.218217379787,-128.591286640524,-536.218217379787,-499.189918991899,"p4"
4,FALSE,8,"suggestion_trial",42,193.540653662508,218.821141081185,316.317591114148,-499.189918991899,-378.517448737955,-378.517448737955,182.735999264328,"p5"
0,FALSE,8,"suggestion_trial",44,182.735999264328,218.821141081185,316.317591114148,-499.189918991899,15.1815181518152,15.1815181518152,-156.315631563156,"p1"
1,FALSE,8,"suggestion_trial",46,-156.315631563156,-10.1871378332844,316.317591114148,-499.189918991899,15.1815181518152,-10.1871378332844,317.611761176118,"p2"
2,FALSE,8,"suggestion_trial",48,-156.315631563156,317.611761176118,502.981073860639,-499.189918991899,15.1815181518152,502.981073860639,589.91899189919,"p3"
3,FALSE,8,"suggestion_trial",50,-156.315631563156,317.611761176118,589.91899189919,-244.299317114246,15.1815181518152,-244.299317114246,-247.044704470447,"p4"
4,FALSE,8,"suggestion_trial",52,-156.315631563156,317.611761176118,589.91899189919,-247.044704470447,289.593909154118,289.593909154118,322.407726303124,"p5"
0,FALSE,8,"suggestion_trial",54,322.407726303124,317.611761176118,589.91899189919,-247.044704470447,448.784878487849,448.784878487849,-176.477647764776,"p1"
1,FALSE,8,"suggestion_trial",56,-176.477647764776,-116.559330610405,589.91899189919,-247.044704470447,448.784878487849,-116.559330610405,136.153615361536,"p2"
2,FALSE,8,"suggestion_trial",58,-176.477647764776,136.153615361536,365.524971303141,-247.044704470447,448.784878487849,365.524971303141,0,"p3"
2,FALSE,14,"suggestion_trial",73,233.917272202748,486.689686593855,-542.816716282087,-341.591376096353,-322.671969378752,-542.816716282087,600,"p3"
3,FALSE,14,"suggestion_trial",76,233.917272202748,486.689686593855,600,535.145289070535,-322.671969378752,535.145289070535,-600,"p4"
4,FALSE,14,"suggestion_trial",79,233.917272202748,486.689686593855,600,-600,-539.181810338789,-539.181810338789,259.86455915719,"p5"
0,FALSE,14,"suggestion_trial",88,259.86455915719,486.689686593855,600,-600,600,600,-600,"p1"
1,FALSE,14,"suggestion_trial",94,-600,263.376994026219,600,-600,600,263.376994026219,-5.10051005100511,"p2"
2,FALSE,14,"suggestion_trial",98,-600,-5.10051005100511,540.873680502182,-600,600,540.873680502182,-600,"p3"
3,FALSE,14,"suggestion_trial",100,-600,-5.10051005100511,-600,596.271968883305,600,596.271968883305,600,"p4"
4,FALSE,14,"suggestion_trial",107,-600,-5.10051005100511,-600,600,-554.832801683918,-554.832801683918,-547.80193348585,"p5"
0,FALSE,14,"suggestion_trial",112,-547.80193348585,-5.10051005100511,-600,600,600,600,-600,"p1"
1,FALSE,14,"suggestion_trial",116,-600,53.9018415357036,-600,600,600,53.9018415357036,0,"p2"
3,FALSE,15,"suggestion_trial",74,-71.9926659847816,-90.7430973717787,-315.710052815298,-196.116275100226,179.725170879975,-196.116275100226,600,"p4"
4,FALSE,15,"suggestion_trial",78,-71.9926659847816,-90.7430973717787,-315.710052815298,600,-486.7852129249,-486.7852129249,-1.63392668424979,"p5"
0,FALSE,15,"suggestion_trial",84,-1.63392668424979,-90.7430973717787,-315.710052815298,600,600,600,-600,"p1"
1,FALSE,15,"suggestion_trial",90,-600,-408.372878541036,-315.710052815298,600,600,-408.372878541036,-600,"p2"
2,FALSE,15,"suggestion_trial",92,-600,-600,275.21255944699,600,600,275.21255944699,15.1815181518152,"p3"
3,FALSE,15,"suggestion_trial",97,-600,-600,15.1815181518152,-521.601162395017,600,-521.601162395017,600,"p4"
4,FALSE,15,"suggestion_trial",99,-600,-600,15.1815181518152,600,578.355499431592,578.355499431592,-52.1585453134629,"p5"
0,FALSE,15,"suggestion_trial",104,-52.1585453134629,-600,15.1815181518152,600,600,600,-600,"p1"
1,FALSE,15,"suggestion_trial",115,-600,414.713482383415,15.1815181518152,600,600,414.713482383415,-600,"p2"
2,FALSE,15,"suggestion_trial",119,-600,-600,-90.6245197505692,600,600,-90.6245197505692,0,"p3"
3,FALSE,16,"suggestion_trial",75,-123.184586862301,-209.615131899617,-196.848680222633,225.322490435657,362.3412568282,225.322490435657,600,"p4"
4,FALSE,16,"suggestion_trial",77,-123.184586862301,-209.615131899617,-196.848680222633,600,355.038332720814,355.038332720814,557.741835964569,"p5"
0,FALSE,16,"suggestion_trial",81,557.741835964569,-209.615131899617,-196.848680222633,600,600,600,-600,"p1"
1,FALSE,16,"suggestion_trial",89,-600,416.334091710129,-196.848680222633,600,600,416.334091710129,-600,"p2"
