id;time;property1;property2;property3;property4;property5;failed;time_of_death;details;type;orgin_id;network_id;contents
67;2020-05-04 07:41:18.74006;3;TRUE;"""1""";FALSE;8;FALSE;;"{""response_id"": 280, ""propagate_failure"": false}";headphone_trial;9;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SIO.wav"", ""label"": ""SIO"", ""correct_answer"": ""1""}"
68;2020-05-04 07:41:28.265959;3;TRUE;"""1""";FALSE;6;FALSE;;"{""response_id"": 283, ""propagate_failure"": false}";headphone_trial;7;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_SOI.wav"", ""label"": ""SOI"", ""correct_answer"": ""1""}"
69;2020-05-04 07:41:36.556568;3;TRUE;"""3""";FALSE;12;FALSE;;"{""response_id"": 287, ""propagate_failure"": false}";headphone_trial;13;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav"", ""label"": ""OIS"", ""correct_answer"": ""3""}"
70;2020-05-04 07:41:45.264923;3;TRUE;"""2""";FALSE;2;FALSE;;"{""response_id"": 291, ""propagate_failure"": false}";headphone_trial;3;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_ISO.wav"", ""label"": ""ISO"", ""correct_answer"": ""2""}"
71;2020-05-04 07:41:55.373074;3;TRUE;"""3""";FALSE;4;FALSE;;"{""response_id"": 294, ""propagate_failure"": false}";headphone_trial;5;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_IOS.wav"", ""label"": ""IOS"", ""correct_answer"": ""3""}"
72;2020-05-04 07:43:33.809389;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 345, ""propagate_failure"": false}";criticsm_trial;90;13;"{""vector"": [106.93563592151418, -227.7023288105729, 297.9442665896603, 348.44095273503433, 184.0408870942066], ""active_index"": 4, ""reverse_scale"": false}"
73;2020-05-04 07:46:20.873748;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 410, ""propagate_failure"": false}";suggestion_trial;93;14;"{""vector"": [233.91727220274765, 486.68968659385473, -542.8167162820866, -341.59137609635275, -322.6719693787523], ""active_index"": 2, ""reverse_scale"": false}"
74;2020-05-04 07:46:55.654517;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 416, ""propagate_failure"": false}";suggestion_trial;95;15;"{""vector"": [-71.99266598478164, -90.74309737177867, -315.71005281529835, -196.116275100226, 179.72517087997483], ""active_index"": 3, ""reverse_scale"": false}"
75;04.05.20 07:47;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 422, ""propagate_failure"": false}";suggestion_trial;97;16;"{""vector"": [-123.18458686230122, -209.61513189961727, -196.8486802226327, 225.32249043565685, 362.34125682820047], ""active_index"": 3, ""reverse_scale"": false}"
76;2020-05-04 07:47:23.206057;3;TRUE;-600;FALSE;;FALSE;;"{""response_id"": 430, ""propagate_failure"": false}";suggestion_trial;98;14;"{""vector"": [233.91727220274765, 486.68968659385473, 600, 535.1452890705355, -322.6719693787523], ""active_index"": 3, ""reverse_scale"": false}"
77;2020-05-04 07:47:41.212098;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 435, ""propagate_failure"": false}";suggestion_trial;100;16;"{""vector"": [-123.18458686230122, -209.61513189961727, -196.8486802226327, 600, 355.03833272081386], ""active_index"": 4, ""reverse_scale"": false}"
78;2020-05-04 07:47:52.435031;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 441, ""propagate_failure"": false}";suggestion_trial;99;15;"{""vector"": [-71.99266598478164, -90.74309737177867, -315.71005281529835, 600, -486.7852129248997], ""active_index"": 4, ""reverse_scale"": false}"
79;2020-05-04 07:48:05.013114;3;TRUE;600;FALSE;;FALSE;;"{""response_id"": 450, ""propagate_failure"": false}";suggestion_trial;101;14;"{""vector"": [233.91727220274765, 486.68968659385473, 600, -600, -539.1818103387889], ""active_index"": 4, ""reverse_scale"": false}"
80;2020-05-04 07:48:17.818239;4;TRUE;"""3""";FALSE;12;FALSE;;"{""response_id"": 452, ""propagate_failure"": false}";headphone_trial;13;1;"{""url"": ""https://s3.amazonaws.com/headphone-check/antiphase_HC_OIS.wav"", ""label"": ""OIS"", ""correct_answer"": ""3""}"
